event_id,run_id,machine_id,production_date,reason_id,duration_min
EVT000001,RUN00001,M01,2024-07-01,R10,9
EVT000002,RUN00001,M01,2024-07-01,R03,3
EVT000003,RUN00001,M01,2024-07-01,R01,50
EVT000004,RUN00002,M02,2024-07-01,R05,13
EVT000005,RUN00002,M02,2024-07-01,R06,4
EVT000006,RUN00002,M02,2024-07-01,R09,1
EVT000007,RUN00002,M02,2024-07-01,R05,8
EVT000008,RUN00002,M02,2024-07-01,R06,18
EVT000009,RUN00002,M02,2024-07-01,R04,28
EVT000010,RUN00003,M03,2024-07-01,R04,11
EVT000011,RUN00003,M03,2024-07-01,R09,4
EVT000012,RUN00003,M03,2024-07-01,R12,2
EVT000013,RUN00003,M03,2024-07-01,R05,3
EVT000014,RUN00003,M03,2024-07-01,R10,5
EVT000015,RUN00003,M03,2024-07-01,R04,33
EVT000016,RUN00003,M03,2024-07-01,R01,46
EVT000017,RUN00004,M04,2024-07-01,R07,30
EVT000018,RUN00004,M04,2024-07-01,R14,7
EVT000019,RUN00004,M04,2024-07-01,R05,6
EVT000020,RUN00004,M04,2024-07-01,R03,1
EVT000021,RUN00004,M04,2024-07-01,R06,6
EVT000022,RUN00004,M04,2024-07-01,R05,1
EVT000023,RUN00004,M04,2024-07-01,R04,49
EVT000024,RUN00004,M04,2024-07-01,R11,7
EVT000025,RUN00004,M04,2024-07-01,R14,8
EVT000026,RUN00004,M04,2024-07-01,R14,15
EVT000027,RUN00004,M04,2024-07-01,R06,1
EVT000028,RUN00005,M05,2024-07-01,R04,1
EVT000029,RUN00005,M05,2024-07-01,R09,1
EVT000030,RUN00005,M05,2024-07-01,R06,2
EVT000031,RUN00005,M05,2024-07-01,R13,12
EVT000032,RUN00005,M05,2024-07-01,R08,26
EVT000033,RUN00005,M05,2024-07-01,R03,18
EVT000034,RUN00005,M05,2024-07-01,R07,7
EVT000035,RUN00006,M06,2024-07-01,R11,1
EVT000036,RUN00006,M06,2024-07-01,R13,15
EVT000037,RUN00006,M06,2024-07-01,R11,18
EVT000038,RUN00006,M06,2024-07-01,R05,2
EVT000039,RUN00006,M06,2024-07-01,R04,22
EVT000040,RUN00007,M07,2024-07-01,R04,32
EVT000041,RUN00007,M07,2024-07-01,R06,1
EVT000042,RUN00007,M07,2024-07-01,R04,11
EVT000043,RUN00007,M07,2024-07-01,R09,6
EVT000044,RUN00007,M07,2024-07-01,R03,121
EVT000045,RUN00008,M08,2024-07-01,R08,19
EVT000046,RUN00008,M08,2024-07-01,R01,11
EVT000047,RUN00008,M08,2024-07-01,R04,65
EVT000048,RUN00008,M08,2024-07-01,R06,49
EVT000049,RUN00009,M09,2024-07-01,R04,41
EVT000050,RUN00009,M09,2024-07-01,R03,23
EVT000051,RUN00010,M10,2024-07-01,R09,1
EVT000052,RUN00010,M10,2024-07-01,R03,80
EVT000053,RUN00010,M10,2024-07-01,R07,10
EVT000054,RUN00011,M11,2024-07-01,R05,50
EVT000055,RUN00012,M12,2024-07-01,R10,10
EVT000056,RUN00012,M12,2024-07-01,R12,16
EVT000057,RUN00012,M12,2024-07-01,R08,2
EVT000058,RUN00012,M12,2024-07-01,R05,5
EVT000059,RUN00012,M12,2024-07-01,R04,144
EVT000060,RUN00013,M01,2024-07-01,R07,29
EVT000061,RUN00013,M01,2024-07-01,R10,1
EVT000062,RUN00013,M01,2024-07-01,R15,11
EVT000063,RUN00013,M01,2024-07-01,R05,38
EVT000064,RUN00014,M02,2024-07-01,R05,3
EVT000065,RUN00014,M02,2024-07-01,R08,60
EVT000066,RUN00014,M02,2024-07-01,R09,4
EVT000067,RUN00014,M02,2024-07-01,R01,23
EVT000068,RUN00014,M02,2024-07-01,R15,2
EVT000069,RUN00014,M02,2024-07-01,R07,73
EVT000070,RUN00015,M03,2024-07-01,R07,56
EVT000071,RUN00015,M03,2024-07-01,R09,6
EVT000072,RUN00016,M04,2024-07-01,R15,32
EVT000073,RUN00016,M04,2024-07-01,R12,4
EVT000074,RUN00016,M04,2024-07-01,R01,9
EVT000075,RUN00016,M04,2024-07-01,R07,13
EVT000076,RUN00016,M04,2024-07-01,R11,2
EVT000077,RUN00016,M04,2024-07-01,R14,4
EVT000078,RUN00016,M04,2024-07-01,R12,3
EVT000079,RUN00016,M04,2024-07-01,R06,14
EVT000080,RUN00016,M04,2024-07-01,R03,2
EVT000081,RUN00016,M04,2024-07-01,R14,10
EVT000082,RUN00016,M04,2024-07-01,R01,12
EVT000083,RUN00017,M05,2024-07-01,R04,31
EVT000084,RUN00017,M05,2024-07-01,R09,5
EVT000085,RUN00017,M05,2024-07-01,R05,55
EVT000086,RUN00018,M06,2024-07-01,R02,18
EVT000087,RUN00018,M06,2024-07-01,R01,2
EVT000088,RUN00018,M06,2024-07-01,R05,69
EVT000089,RUN00019,M07,2024-07-01,R01,67
EVT000090,RUN00019,M07,2024-07-01,R07,27
EVT000091,RUN00020,M08,2024-07-01,R02,75
EVT000092,RUN00021,M09,2024-07-01,R01,9
EVT000093,RUN00021,M09,2024-07-01,R12,1
EVT000094,RUN00021,M09,2024-07-01,R11,2
EVT000095,RUN00021,M09,2024-07-01,R02,53
EVT000096,RUN00022,M10,2024-07-01,R08,18
EVT000097,RUN00022,M10,2024-07-01,R10,1
EVT000098,RUN00022,M10,2024-07-01,R04,34
EVT000099,RUN00022,M10,2024-07-01,R12,12
EVT000100,RUN00022,M10,2024-07-01,R04,45
EVT000101,RUN00023,M11,2024-07-01,R09,3
EVT000102,RUN00023,M11,2024-07-01,R06,1
EVT000103,RUN00023,M11,2024-07-01,R01,23
EVT000104,RUN00023,M11,2024-07-01,R08,5
EVT000105,RUN00023,M11,2024-07-01,R14,12
EVT000106,RUN00024,M12,2024-07-01,R06,3
EVT000107,RUN00024,M12,2024-07-01,R05,40
EVT000108,RUN00024,M12,2024-07-01,R03,14
