run_id,production_date,shift_id,machine_id,product_id,operator_id,planned_time_min,run_time_min,total_count,good_count,scrap_count
RUN00001,2024-07-01,T1,M01,P05,OP01,480,418,1973,1973,0
RUN00002,2024-07-01,T1,M02,P05,OP10,480,408,1791,1723,68
RUN00003,2024-07-01,T1,M03,P03,OP13,480,376,1047,969,78
RUN00004,2024-07-01,T1,M04,P02,OP16,480,349,982,901,81
RUN00005,2024-07-01,T1,M05,P04,OP16,480,413,3070,3047,23
RUN00006,2024-07-01,T1,M06,P05,OP13,480,422,4668,4552,116
RUN00007,2024-07-01,T1,M07,P01,OP13,480,309,1111,1067,44
RUN00008,2024-07-01,T1,M08,P01,OP13,480,336,1261,1188,73
RUN00009,2024-07-01,T1,M09,P01,OP04,480,416,2309,2291,18
RUN00010,2024-07-01,T1,M10,P01,OP13,480,389,1218,1172,46
RUN00011,2024-07-01,T1,M11,P03,OP16,480,430,1032,1008,24
RUN00012,2024-07-01,T1,M12,P05,OP13,480,303,548,507,41
RUN00013,2024-07-01,T2,M01,P02,OP05,480,401,1945,1929,16
RUN00014,2024-07-01,T2,M02,P05,OP02,480,315,1472,1444,28
RUN00015,2024-07-01,T2,M03,P05,OP17,480,418,1209,1178,31
RUN00016,2024-07-01,T2,M04,P02,OP08,480,375,1061,988,73
RUN00017,2024-07-01,T2,M05,P05,OP02,480,389,2763,2756,7
RUN00018,2024-07-01,T2,M06,P03,OP08,480,391,4400,4320,80
RUN00019,2024-07-01,T2,M07,P01,OP14,480,386,1452,1436,16
RUN00020,2024-07-01,T2,M08,P03,OP08,480,405,1470,1429,41
RUN00021,2024-07-01,T2,M09,P05,OP05,480,415,2278,2273,5
RUN00022,2024-07-01,T2,M10,P04,OP11,480,370,1067,1041,26
RUN00023,2024-07-01,T2,M11,P03,OP14,480,436,967,967,0
RUN00024,2024-07-01,T2,M12,P05,OP02,480,358,631,584,47
RUN00025,2024-07-01,T3,M02,P03,OP06,480,385,1720,1669,51
RUN00026,2024-07-01,T3,M03,P04,OP12,480,450,1153,1132,21
RUN00027,2024-07-01,T3,M04,P01,OP03,480,356,916,844,72
RUN00028,2024-07-01,T3,M05,P04,OP06,480,389,2577,2569,8
RUN00029,2024-07-01,T3,M06,P05,OP06,480,447,4509,4318,191
RUN00030,2024-07-01,T3,M07,P03,OP12,480,351,1376,1343,33
RUN00031,2024-07-01,T3,M08,P01,OP09,480,340,1159,1087,72
RUN00032,2024-07-01,T3,M09,P03,OP03,480,470,2455,2455,0
RUN00033,2024-07-01,T3,M11,P05,OP06,480,414,945,897,48
RUN00034,2024-07-01,T3,M12,P01,OP06,480,388,701,643,58
RUN00035,2024-07-02,T1,M01,P02,OP07,480,462,2171,2171,0
RUN00036,2024-07-02,T1,M02,P03,OP16,480,415,1830,1814,16
RUN00037,2024-07-02,T1,M03,P03,OP01,480,352,1005,970,35
RUN00038,2024-07-02,T1,M04,P04,OP04,480,341,891,840,51
RUN00039,2024-07-02,T1,M05,P01,OP10,480,475,3142,3106,36
RUN00040,2024-07-02,T1,M06,P01,OP04,480,376,4201,4133,68
RUN00041,2024-07-02,T1,M07,P02,OP01,480,399,1507,1392,115
RUN00042,2024-07-02,T1,M08,P04,OP13,480,300,1107,1074,33
RUN00043,2024-07-02,T1,M09,P03,OP10,480,396,2184,2128,56
RUN00044,2024-07-02,T1,M10,P04,OP13,480,368,1114,1079,35
RUN00045,2024-07-02,T1,M11,P05,OP07,480,401,875,875,0
RUN00046,2024-07-02,T1,M12,P04,OP16,480,333,573,540,33
RUN00047,2024-07-02,T2,M01,P02,OP02,480,469,2074,2008,66
RUN00048,2024-07-02,T2,M02,P02,OP17,480,334,1478,1416,62
RUN00049,2024-07-02,T2,M03,P01,OP17,480,403,1069,1043,26
RUN00050,2024-07-02,T2,M04,P04,OP02,480,266,690,652,38
RUN00051,2024-07-02,T2,M05,P03,OP17,480,443,2962,2933,29
RUN00052,2024-07-02,T2,M07,P03,OP11,480,403,1587,1587,0
RUN00053,2024-07-02,T2,M08,P05,OP17,480,334,1266,1201,65
RUN00054,2024-07-02,T2,M09,P05,OP08,480,365,2144,2075,69
RUN00055,2024-07-02,T2,M10,P02,OP08,480,267,822,796,26
RUN00056,2024-07-02,T2,M11,P04,OP14,480,420,975,945,30
RUN00057,2024-07-02,T2,M12,P02,OP02,480,270,442,410,32
RUN00058,2024-07-02,T3,M02,P05,OP15,480,331,1554,1485,69
RUN00059,2024-07-02,T3,M03,P05,OP15,480,372,1059,1057,2
RUN00060,2024-07-02,T3,M04,P04,OP03,480,354,939,886,53
RUN00061,2024-07-02,T3,M05,P02,OP06,480,369,2681,2681,0
RUN00062,2024-07-02,T3,M06,P04,OP03,480,434,4662,4444,218
RUN00063,2024-07-02,T3,M07,P03,OP03,480,423,1455,1454,1
RUN00064,2024-07-02,T3,M08,P05,OP06,480,372,1444,1350,94
RUN00065,2024-07-02,T3,M09,P05,OP12,480,265,1490,1417,73
RUN00066,2024-07-02,T3,M10,P05,OP03,480,344,1050,1022,28
RUN00067,2024-07-02,T3,M11,P03,OP15,480,441,879,870,9
RUN00068,2024-07-03,T1,M01,P04,OP16,480,425,1883,1866,17
RUN00069,2024-07-03,T1,M02,P03,OP13,480,401,1906,1829,77
RUN00070,2024-07-03,T1,M03,P01,OP01,480,406,1065,1009,56
RUN00071,2024-07-03,T1,M04,P04,OP01,480,351,893,820,73
RUN00072,2024-07-03,T1,M06,P03,OP01,480,381,4331,4276,55
RUN00073,2024-07-03,T1,M07,P02,OP01,480,468,1753,1753,0
RUN00074,2024-07-03,T1,M08,P03,OP01,480,400,1530,1406,124
